account,situs,subdivision,acres,assessor_acres,total_value,jurisdiction,zone_code,zone_plain,zone_category,mf_threat,bucket,flu_source,flu_designation,flu_plain,flu_intent,dist_mi,compactness,contig_group,contig_group_acres,contig_group_parcels,lat,lon,interest,legal
R8048700050,11235 W OVERLAND RD,SOUTHPOINT SUB NO 05,1.0028,1.004,524800,City of Boise,MX-1,Boise Mixed-Use Neighborhood,Mixed Use,High,Vacant Land,Boise,Office,Office,non-residential (MF only if mixed),1.943,0.736,163,4.68,4,43.589821,-116.322167,52.8,LOT 65 BLK 12 SOUTHPOINT SUB NO 05
R8048700060,11173 W OVERLAND RD,SOUTHPOINT SUB NO 05,1.036,1.037,542100,City of Boise,MX-1,Boise Mixed-Use Neighborhood,Mixed Use,High,Vacant Land,Boise,Office,Office,non-residential (MF only if mixed),1.972,0.68,163,4.68,4,43.589752,-116.321577,52.7,LOT 66 BLK 12 SOUTHPOINT SUB NO 05
R8048700070,11101 W OVERLAND RD,SOUTHPOINT SUB NO 05,1.5244,1.527,798200,City of Boise,MX-1,Boise Mixed-Use Neighborhood,Mixed Use,High,Vacant Land,Boise,Office,Office,non-residential (MF only if mixed),2.004,0.698,163,4.68,4,43.58968,-116.320945,52.7,LOT 67 BLK 12 SOUTHPOINT SUB NO 05
R8048700090,11059 W OVERLAND RD,SOUTHPOINT SUB NO 05,1.1134,1.114,849200,City of Boise,MX-1,Boise Mixed-Use Neighborhood,Mixed Use,High,Vacant Land,Boise,Office,Office,non-residential (MF only if mixed),2.047,0.785,163,4.68,4,43.589827,-116.320067,52.6,LOT 69 BLK 12 SOUTHPOINT SUB NO 05
S1406325626,7370 S MERIDIAN RD  # 1,2N 1E 06,13.997,14.012,2441500,City of Kuna,C-2,C-2,Commercial,Low,Vacant Land,Ada County,Incorporated Cities and Areas of City Impact,City Impact Area,see city plan,4.03,0.563,16,43.61,5,43.538171,-116.3921,52.5,PAR #5626 OF GOVT LOT 6 SEC 06 2N 1E #325625-B
S1406325902,S MERIDIAN RD,2N 1E 06,3.744,3.747,489700,Ada County,RUT,County Rural-Urban Transition,Agricultural / Rural,Low,Vacant Land,,,(no FLU),n/a,4.093,0.7,16,43.61,5,43.536646,-116.390251,52.4,PAR #5902 @ E SIDE GOV LOT 6 SEC 06 2N 1E PAR C OF R/S 10182 #325900S
S1109110516,12565 W FAIRVIEW AVE,3N 1E 09,4.5681,4.582,2993900,City of Boise,MX-3,Boise Mixed-Use Regional,Mixed Use,High,Vacant Land,Boise,Commercial,Commercial,non-residential (MF only if mixed),2.139,0.717,168,4.57,1,43.61847,-116.338838,52.3,PAR #0516 OF NE4 SEC 09 3N 1E #110515-B
S1406325615,7600 S MERIDIAN RD,2N 1E 06,4.0847,4.091,534600,Ada County,RUT,County Rural-Urban Transition,Agricultural / Rural,Low,Vacant Land,,,(no FLU),n/a,4.132,0.684,16,43.61,5,43.536651,-116.392352,52.3,PAR #5615 NEAR SW COR OF GOVT LOT 6 SEC 6 2N 1E R/S 4749 #325608-S
R3720680600,659 E WATERTOWER ST,HONOR PARK SUB NO 02,1.1568,1.158,567500,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,Commercial,Commercial,non-residential (MF only if mixed),1.336,0.796,34,22.84,9,43.600015,-116.385129,52.2,LOT 8 BLK 1 HONOR PARK SUB #2
R3720680500,603 E WATERTOWER ST,HONOR PARK SUB NO 02,1.1764,1.178,538800,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,Commercial,Commercial,non-residential (MF only if mixed),1.371,0.777,34,22.84,9,43.600043,-116.385893,52.1,LOT 7 BLK 1 HONOR PARK SUB #2
S1406336010,S MERIDIAN RD,2N 1E 06,16.2658,16.3,2130100,Ada County,RR,County Rural Residential,Agricultural / Rural,Low,Vacant Land,,,(no FLU),n/a,4.251,0.477,16,43.61,5,43.53454,-116.391477,52.1,PAR #6010 POR GOV LOTS 6-7 SEC 6 2N 1E #336006S #325900S
R3720680400,515 E WATERTOWER ST,HONOR PARK SUB NO 02,1.0923,1.093,499900,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,Commercial,Commercial,non-residential (MF only if mixed),1.405,0.721,34,22.84,9,43.600032,-116.386635,52.0,LOT 6 BLK 1 HONOR PARK SUB #2
S1406336050,E COLUMBIA RD,2N 1E 06,5.5195,5.52,661200,City of Kuna,C-1,C-1,Commercial,Low,Vacant Land,Ada County,Incorporated Cities and Areas of City Impact,City Impact Area,see city plan,4.324,0.385,16,43.61,5,43.532885,-116.389496,52.0,PAR #6050 POR SW4SW4 SEC 06 2N 1E PAR A ROS 13974 #336171-S
R0831430030,S LINDER RD,BASSLIN RIDGE ESTATES,10.4062,10.41,17300,City of Meridian,R-8,Meridian Medium Density Res (8 du/ac),Townhouse / Med-Density Residential,Medium,Vacant Land,Meridian,Low Density Residential,Low-Density Residential (planned),single-family oriented,3.153,0.625,30,26.19,2,43.569411,-116.415661,51.9,LOT 3 BLK 1 BASSLIN RIDGE ESTATES
R3720680700,430 E WATERTOWER ST,HONOR PARK SUB NO 02,1.4075,1.408,0,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,Commercial,Commercial,non-residential (MF only if mixed),1.482,0.757,34,22.84,9,43.60081,-116.387844,51.9,LOT 5 BLK 2 HONOR PARK SUB #2
S1117223440,S LOCUST GROVE RD,3N 1E 17,1.818,1.813,0,Ada County,RUT,County Rural-Urban Transition,Agricultural / Rural,Low,Vacant Land,Meridian,MU-C,Mixed Use – Community,supports multifamily,0.946,0.754,343,1.82,1,43.603009,-116.371997,51.9,PAR #3440 CTR POR NW4NW4 SEC 17 3N 1E #223420-S
R3720690122,500 E SCENERY LN,HONOR PARK SUB NO 03,1.2212,1.214,555300,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,Commercial,Commercial,non-residential (MF only if mixed),1.525,0.766,34,22.84,9,43.603686,-116.38667,51.8,PAR #0122 LOTS 21 & 22 BLK 02 HONOR PARK SUB #3 PARCEL E R/S 7377 #0120-B #0130-
R8483070600,2354 W PEAK CLOUD LN,TM CREEK SUB NO 07,1.1153,1.11,,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),3.215,0.802,48,18.22,6,43.603554,-116.423102,51.8,LOT 19 BLK 03 TM CREEK SUB NO 07
R3720690172,399 E FRANKLIN RD,HONOR PARK SUB NO 03,1.1664,1.154,703800,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,Commercial,Commercial,non-residential (MF only if mixed),1.584,0.728,34,22.84,9,43.604268,-116.387565,51.7,PAR #0172 W'LY POR LOT 26 BLK 02 HONOR PARK SUB #3 PARCEL I R/S 7377 #0170-B
