region_code,region_name,region_basename,state,region_type,total_in,total_out,total_net,total_natural_growth,total_international_migration,avg_seasonal_visitors,latest_adjusted_population,latest_median_hhi,latest_median_age,latest_percent_white,latest_percent_asian,latest_percent_black_or_african_american,latest_percent_hispanic_or_latino,latest_percent_bachelor_and_higher,latest_average_household_value,latest_arealand,latest_population_density,latest_pop_change_forecast,weighted_avg_median_hhi_in,weighted_avg_median_age_in,weighted_avg_percent_white_in,weighted_avg_percent_asian_in,weighted_avg_percent_black_or_african_american_in,weighted_avg_percent_hispanic_or_latino_in,total_gross_migration,calc_net_migration_pct,calc_hhi_ratio,calc_age_diff,calc_white_diff,calc_asian_diff,calc_black_diff,calc_hispanic_diff,calc_pop_change,calc_pop_change_pct
39040,"Port Townsend, WA Micro Area","Port Townsend, WA Micro Area, Washington",Washington,cbsa,1397,1036,361,-260,52,589.16,30086.97,73995.64,59.8,0.85,0.01,0,0.04,0.24,476411.89,1803.71,16.68,0.041,98698.23,44.83,0.7,0.07,0.05,0.18,2433,0.011998549538222027,1.3338384531845389,-14.969999999999999,-0.15000000000000002,0.060000000000000005,0.05,0.13999999999999999,153,0.005111249860943938
23820,"Gardnerville Ranchos, NV-CA Micro Area","Gardnerville Ranchos, NV-CA Micro Area, Nevada",Nevada,cbsa,2469,2110,359,-364,26,1128.06,48535.03,92844.9,54.6,0.77,0.02,0,0.13,0.21,396775.61,1448.75,33.5,0.0118,83870.24,39.88,0.55,0.07,0.06,0.26,4579,0.007396719441607433,0.9033370707491742,-14.719999999999999,-0.21999999999999997,0.05,0.06,0.13,21,0.00043286447240107657
10820,"Alexandria, MN Micro Area","Alexandria, MN Micro Area, Minnesota",Minnesota,cbsa,1919,1563,355,-91,26,1105.34,39088.17,78681.06,44.5,0.94,0.01,0.01,0.02,0.2,186875.82,636.77,61.38,0.0042,91735.43,42.01,0.73,0.04,0.06,0.2,3482,0.009082031724688059,1.165915024530681,-2.490000000000002,-0.20999999999999996,0.03,0.049999999999999996,0.18000000000000002,290,0.0074745793422731025
23620,"Gainesville, TX Micro Area","Gainesville, TX Micro Area, Texas",Texas,cbsa,3745,3392,353,65,52,946.38,46220.68,73987.1,40.5,0.71,0.01,0.03,0.21,0.16,184644.47,874.62,52.85,0.0254,82342.72,35.76,0.49,0.06,0.13,0.26,7137,0.007637274051355367,1.1129334708347807,-4.740000000000002,-0.21999999999999997,0.049999999999999996,0.1,0.05000000000000002,470,0.010273071351070629
21300,"Elmira, NY Metro Area","Elmira, NY Metro Area, New York",New York,cbsa,3324,2971,353,-304,182,2147.91,81405.03,64820.96,42,0.84,0.02,0.06,0.04,0.15,79951.87,407.32,199.86,-0.0163,73055.04,41.78,0.75,0.04,0.07,0.1,6295,0.004336341378413594,1.1270280477178987,-0.21999999999999886,-0.08999999999999997,0.02,0.010000000000000009,0.060000000000000005,231,0.002845737731636584
31020,"Longview-Kelso, WA Metro Area","Longview-Kelso, WA Metro Area, Washington",Washington,cbsa,4252,3900,352,-39,208,1645.66,116288.05,76590.59,41.5,0.8,0.01,0.01,0.1,0.12,132388.26,1140.95,101.92,0.0225,90534.93,39.01,0.67,0.06,0.03,0.16,8152,0.003026966227398258,1.1820633579138116,-2.490000000000002,-0.13,0.049999999999999996,0.019999999999999997,0.06,521,0.004500417001210621
29980,"Lawrenceburg, TN Micro Area","Lawrenceburg, TN Micro Area, Tennessee",Tennessee,cbsa,1752,1400,352,-65,0,531.34,46084.61,56065.46,39.3,0.92,0,0.01,0.03,0.09,107691.27,617.02,74.69,-0.0004,79640.67,38.74,0.7,0.03,0.14,0.1,3152,0.007638124744898568,1.4204943649797932,-0.5599999999999952,-0.22000000000000008,0.03,0.13,0.07,287,0.006266702563736405
18820,"Crawfordsville, IN Micro Area","Crawfordsville, IN Micro Area, Indiana",Indiana,cbsa,1585,1236,350,0,13,916.05,38461.97,71246.24,40.4,0.89,0.01,0.01,0.06,0.13,68961.19,504.61,76.22,0.001,77902.69,38.76,0.73,0.04,0.1,0.15,2821,0.009099897899145571,1.0934287900666757,-1.6400000000000006,-0.16000000000000003,0.03,0.09000000000000001,0.09,363,0.00952781663126326
49660,"Youngstown-Warren, OH Metro Area","Youngstown-Warren, OH Metro Area, Ohio",Ohio,cbsa,7551,7210,341,-1573,741,6056.33,417694.27,57327.79,43.5,0.79,0.01,0.11,0.05,0.16,65082.15,1028.8,406,-0.0191,72480.98,41.17,0.72,0.03,0.12,0.08,14761,0.0008163865882096013,1.2643253821575888,-2.3299999999999983,-0.07000000000000006,0.019999999999999997,0.009999999999999995,0.03,-491,-0.0011741207431816046
34420,"Mount Pleasant, TX Micro Area","Mount Pleasant, TX Micro Area, Texas",Texas,cbsa,3148,2810,338,52,249,1069.11,62352.97,58391.85,37.4,0.49,0.01,0.14,0.34,0.13,73195.66,854.04,73.01,0.039,75856.91,37.98,0.55,0.04,0.14,0.23,5958,0.005420752211161714,1.2991009875522013,0.5799999999999983,0.06000000000000005,0.03,0,-0.11000000000000001,639,0.010354219636169898
