Market,State,Inbound,Outbound,Net Migration,Population,Median HHI,Median Age,Migration Type
"Manitowoc, WI Micro Area, Wisconsin",,33,0,33,80457.62,70189.0656829021,45.1,In-State
"Alamosa, CO Micro Area, Colorado",,32,0,32,28797.59,51089.326656222605,36.4,In-State
"Charleston, WV Metro Area, West Virginia",,32,0,32,203773.15,60153.66312591906,44,In-State
"La Crosse-Onalaska, WI-MN Metro Area, Wisconsin",,32,0,32,167410.13,73480.19118979006,39.3,In-State
"Lewiston, ID-WA Metro Area, Washington",,90,58,32,63627.63,72359.50876519745,42.8,In-State
"Rifle, CO Micro Area, Colorado",,32,0,32,80429.8,94178.62765270534,39.3,In-State
"Grand Junction, CO Metro Area, Colorado",,81,50,31,159117,73544.3486268242,41.3,In-State
"Kennewick-Richland, WA Metro Area, Washington",,156,125,31,318927.26,89066.72546357552,34.6,In-State
"Paducah, KY-IL Metro Area, Kentucky",,88,57,31,98167.25,65173.39209877211,43.2,In-State
"Pittsburg, KS Micro Area, Kansas",,31,0,31,38656.48,52477.65114497861,33.6,In-State
"Tuscaloosa, AL Metro Area, Alabama",,31,0,31,255048.11,61482.98666372661,34,In-State
"Greenwood, SC Micro Area, South Carolina",,30,0,30,95861.65,52892.35948529116,40.9,In-State
"Salem, OH Micro Area, Ohio",,30,0,30,95810.17,58030.038175379166,44.6,In-State
"Stevens Point-Plover, WI Micro Area, Wisconsin",,30,0,30,73947.92,76396.19963680775,38,In-State
"Astoria, OR Micro Area, Oregon",,40,11,29,40680.14,71466.8627607898,46,In-State
"Kokomo, IN Metro Area, Indiana",,29,0,29,83397.74,64338.858401036894,40.7,In-State
"Tahlequah, OK Micro Area, Oklahoma",,29,0,29,50642.62,53917.17998440002,37.3,In-State
"Tullahoma-Manchester, TN Micro Area, Tennessee",,29,0,29,65495.92,61634.53057355966,39.8,In-State
"Bedford, IN Micro Area, Indiana",,28,0,28,44642.25,66716.4438468494,43.3,In-State
"Crescent City, CA Micro Area, California",,72,44,28,27656.07,67788.31097598914,39.9,In-State
"Lynchburg, VA Metro Area, Virginia",,59,31,28,265833.89,67941.43584431263,40,In-State
"Missoula, MT Metro Area, Montana",,55,27,28,131246.57,74989.26910161694,37.5,In-State
"Anniston-Oxford, AL Metro Area, Alabama",,27,0,27,112274.99,55108.33783818915,39.3,In-State
"Columbus, NE Micro Area, Nebraska",,27,0,27,47709.48,75563.802749556,37.1,In-State
"Tucson, AZ Metro Area, Arizona",,123,96,27,1108074.64,70370.69414854399,39.8,In-State
"Ukiah, CA Micro Area, California",,46,19,27,88067.44,68618.19131515361,44.1,In-State
"Flagstaff, AZ Metro Area, Arizona",,37,11,26,150990.32,73080.9144272491,32.8,In-State
"Platteville, WI Micro Area, Wisconsin",,26,0,26,50230.59,67366.97833957383,36.8,In-State
"St. Louis, MO-IL Metro Area, Illinois",,60,34,26,2816888.62,80546.2348474843,39.9,In-State
"Weatherford, OK Micro Area, Oklahoma",,26,0,26,39532.18,61064.733672828814,35.1,In-State
"Logan, UT-ID Metro Area, Utah",,97,72,25,158765.47,81340.97248337712,26.8,In-State
"Gillette, WY Micro Area, Wyoming",,45,21,24,48455.65,91123.21142164296,36.3,In-State
"Goldsboro, NC Metro Area, North Carolina",,28,4,24,128476.22,59781.17193040247,37.3,In-State
"Killeen-Temple, TX Metro Area, Texas",,35,11,24,503768.67,69391.61269224845,32.8,In-State
"Shawnee, OK Micro Area, Oklahoma",,24,0,24,74467.27,61519.77719834125,37.9,In-State
"Urban Honolulu, HI Metro Area, Hawaii",,78,54,24,973143.89,106598.57058498438,39.8,In-State
"Baker City, OR Micro Area, Oregon",,48,26,22,15460.38,61540.91016744179,47,In-State
"Ozark, AL Micro Area, Alabama",,49,27,22,47643.8,55361.34360912946,37.7,In-State
"Providence-Warwick, RI-MA Metro Area, Massachusetts",,67,45,22,1666130.28,87302.02754009773,40.7,In-State
"Medford, OR Metro Area, Oregon",,78,57,21,217928.26,73734.99181827469,42.8,In-State
"New Orleans-Metairie, LA Metro Area, Louisiana",,30,10,20,1013062.55,63034.36051018875,39.2,In-State
"Vallejo, CA Metro Area, California",,114,94,20,460636.22,100398.71472041876,39.2,In-State
"Bellingham, WA Metro Area, Washington",,52,33,19,248232.55,82153.89266261163,38.4,In-State
"Brigham City, UT-ID Micro Area, Utah",,34,15,19,67050.98,83764.47416017769,33.7,In-State
"Chico, CA Metro Area, California",,108,89,19,233402.25,68302.41844092823,36.2,In-State
"Kansas City, MO-KS Metro Area, Missouri",,318,299,19,2242948.36,83959.76888095679,38,In-State
"Syracuse, NY Metro Area, New York",,19,0,19,655136.36,75580.24425798774,40.1,In-State
"Rochester, NY Metro Area, New York",,18,0,18,1056344.9,76401.88886024391,40.7,In-State
"Niles, MI Metro Area, Michigan",,17,0,17,147725.04,65851.54892077648,42.7,In-State
"Orlando-Kissimmee-Sanford, FL Metro Area, Florida",,220,203,17,3021513.78,78747.32685598376,38.5,In-State
"Sonora, CA Micro Area, California",,30,13,17,56395.32,77597.19627268234,48.4,In-State
"Springfield, MO Metro Area, Missouri",,20,3,17,485327.12,65636.05283663674,37.3,In-State
"Baltimore-Columbia-Towson, MD Metro Area, Maryland",,30,14,16,2888297.3,99561.36291814121,39,In-State
"Billings, MT Metro Area, Montana",,62,46,16,189164.06,77705.10742974051,39.9,In-State
"Bishop, CA Micro Area, California",,16,0,16,18167.14,73703.84837840537,45.5,In-State
"Bismarck, ND Metro Area, North Dakota",,16,0,16,134477.42,84987.81123897506,38.4,In-State
"Great Falls, MT Metro Area, Montana",,26,10,16,82053.8,67044.59273094099,38.6,In-State
"Oak Harbor, WA Micro Area, Washington",,35,19,16,84225.92,92129.53079890319,44.8,In-State
"Pocatello, ID Metro Area, Idaho",,231,215,16,92822.61,67110.32903777885,35.2,Cross-State
"Spearfish, SD Micro Area, South Dakota",,16,0,16,27148.07,72290.86025903079,44.8,In-State
"Durango, CO Micro Area, Colorado",,49,34,15,57074.95,85776.1431289544,43.2,In-State
"Homosassa Springs, FL Metro Area, Florida",,38,23,15,161557.48,56102.72278082794,56.9,In-State
"La Grande, OR Micro Area, Oregon",,53,38,15,27614.41,65572.16508638384,40,In-State
"Lubbock, TX Metro Area, Texas",,19,4,15,379895.79,63970.03701042049,32.4,In-State
"Aberdeen, WA Micro Area, Washington",,14,0,14,71908.26,64415.565606956676,44.7,In-State
"Alpena, MI Micro Area, Michigan",,14,0,14,29115.63,54138.51040498857,47.8,In-State
"Little Rock-North Little Rock-Conway, AR Metro Area, Arkansas",,20,6,14,760845.72,67445.2941732531,37.6,In-State
"Marquette, MI Micro Area, Michigan",,14,0,14,64006.62,65935.36803960026,39.3,In-State
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area, New York",,13,0,13,711742.11,98428.45743204042,39.4,In-State
"Reading, PA Metro Area, Pennsylvania",,13,0,13,441221.55,80403.78837496864,39.9,In-State
"Asheville, NC Metro Area, North Carolina",,12,0,12,407812.53,71975.92587857986,44,In-State
"Centralia, WA Micro Area, Washington",,17,5,12,88523.4,74810.36236896717,42.2,In-State
"Gainesville, GA Metro Area, Georgia",,12,0,12,222895.59,80876.1496647657,38.4,In-State
"Hilo-Kailua, HI Micro Area, Hawaii",,30,18,12,213130.08,79219.36184565118,44.3,In-State
"Massena-Ogdensburg, NY Micro Area, New York",,12,0,12,106992.6,63379.654924683964,39.3,In-State
"McAllen-Edinburg-Mission, TX Metro Area, Texas",,25,13,12,934640.64,54368.88093194877,30.5,In-State
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area, Tennessee",,459,447,12,2122858.78,86108.3710518532,36.9,In-State
"Port Angeles, WA Micro Area, Washington",,23,11,12,76828.25,70660.6714042868,52.1,In-State
"Moses Lake, WA Micro Area, Washington",,11,0,11,104366.7,73034.11522194748,33.7,In-State
"Walla Walla, WA Metro Area, Washington",,33,22,11,63763.87,74259.02800158662,38.5,In-State
"Brookings, SD Micro Area, South Dakota",,10,0,10,38233.35,70803.15638058343,28,In-State
"Charlottesville, VA Metro Area, Virginia",,55,45,10,230566.95,93384.71169551539,39.4,In-State
"Kerrville, TX Micro Area, Texas",,10,0,10,52546.31,69798.38372127595,48.8,In-State
"Othello, WA Micro Area, Washington",,10,0,10,22275.72,66281.8928988407,29.3,In-State
"Red Bluff, CA Micro Area, California",,24,14,10,62498.95,64454.35488645638,40,In-State
"Lake Charles, LA Metro Area, Louisiana",,9,0,9,233429.42,66829.24382948248,37.6,In-State
"Longview-Kelso, WA Metro Area, Washington",,48,39,9,116220.8,76590.58800959864,41.5,In-State
"Sulphur Springs, TX Micro Area, Texas",,9,0,9,40136.06,69823.89062154583,39.5,In-State
"Beaumont-Port Arthur, TX Metro Area, Texas",,23,15,8,400662.14,65515.78100316318,37.7,In-State
"Grants Pass, OR Metro Area, Oregon",,19,11,8,86407.64,60078.51521454136,47.3,In-State
"Gulfport-Biloxi, MS Metro Area, Mississippi",,65,57,8,428591.83,63056.97074860001,39.8,In-State
"Ketchikan, AK Micro Area, Alaska",,15,7,8,13084.98,93960.29329496712,41,In-State
"Kingsland, GA Micro Area, Georgia",,8,0,8,57816.73,74291.75073965348,34.7,In-State
"Nacogdoches, TX Micro Area, Texas",,8,0,8,67958.71,53422.10571445829,31.9,In-State
"Wichita Falls, TX Metro Area, Texas",,12,4,8,159687.25,65673.35802129329,36.6,In-State
"Akron, OH Metro Area, Ohio",,103,96,7,706558.15,72367.69581290128,41,In-State
"Albany, OR Metro Area, Oregon",,26,19,7,131638.84,76347.77550029136,40.1,In-State
"Forest City, NC Micro Area, North Carolina",,7,0,7,66088.09,51880.74647012705,45.3,In-State
"Rochester, MN Metro Area, Minnesota",,7,0,7,230690.96,93144.48123052223,38.9,In-State
"Shreveport-Bossier City, LA Metro Area, Louisiana",,13,6,7,389720.87,56278.78013127649,38.6,In-State
"Albemarle, NC Micro Area, North Carolina",,6,0,6,65698.59,60752.61178607653,40.5,In-State
