account,situs,subdivision,acres,assessor_acres,total_value,jurisdiction,zone_code,zone_plain,zone_category,mf_threat,bucket,flu_source,flu_designation,flu_plain,flu_intent,dist_mi,compactness,contig_group,contig_group_acres,contig_group_parcels,lat,lon,interest,legal
R2320000092,3177 W PASADENA DR,ELDER SUB,1.8238,1.833,1117800,City of Boise,MX-1,Boise Mixed-Use Neighborhood,Mixed Use,High,Vacant Land,Boise,Office,Office,non-residential (MF only if mixed),4.154,0.766,143,1.82,1,43.574827,-116.220471,45.5,PAR #0092 N'LY POR OF BLK 8 ELDER SUB PARCEL A R/S 4172 #0090-B
R2320000190,2807 W ELDER ST,ELDER SUB,1.3248,1.33,0,City of Boise,MX-3,Boise Mixed-Use Regional,Mixed Use,High,Vacant Land,Boise,Commercial,Commercial,non-residential (MF only if mixed),3.918,0.744,161,1.32,1,43.573033,-116.21644,45.5,BLK 18 EXC W 140 FT ELDER SUB
R6907010020,444 W PARKCENTER BLVD,PARKCENTER SUB NO 01,1.9989,2.01,1704800,City of Boise,MX-3,Boise Mixed-Use Regional,Mixed Use,High,Vacant Land,Boise,Office,Office,non-residential (MF only if mixed),4.369,0.405,136,2.0,1,43.599369,-116.187081,45.3,LOT 2 BLK 1 PARKCENTER SUB NO 01
S1015325410,2350 W KOOTENAI ST,3N 2E 15,6.7614,6.823,2229000,City of Boise,R-2,Two-Family / Low-Density,Two-Family / Low-Density Residential,Medium,Vacant Land,Boise,Compact,Compact / walkable neighborhood,supports attached/medium,4.729,0.298,71,6.76,1,43.595298,-116.210006,44.3,"PAR #5410 OF NW4SW4 SEC 15 3N 2E PAR 2  R/S #4667, R/S 4783 #5400-B #99069458"
S1026417510,4125 S FEDERAL WAY,3N 2E 26,2.3446,2.349,818600,City of Boise,I-2,Boise Industrial (general),Industrial / Business Park,Low,Vacant Land,Boise,Industrial,Industrial,non-residential,2.076,0.425,26,31.04,3,43.564838,-116.177689,43.9,PAR #7510 OF NE4SE4 SEC 26 3N 2E #417505-B #95020953-56-55-54
R5125680080,494 E LAKE RIM LN,LAKEWOOD UNIT NO 17,1.1615,1.16,0,City of Boise,R-2,Two-Family / Low-Density,Two-Family / Low-Density Residential,Medium,Vacant Land,Boise,Compact,Compact / walkable neighborhood,supports attached/medium,2.216,0.303,171,1.16,1,43.567365,-116.177805,43.7,LOT 8 BLK 1 LAKEWOOD UNIT NO 17 #8934564
S1026428005,4001 S FEDERAL WAY,3N 2E 26,11.056,11.069,0,City of Boise,I-1,Boise Industrial (light),Industrial / Business Park,Low,Vacant Land,Boise,Industrial,Industrial,non-residential,2.185,0.715,26,31.04,3,43.565609,-116.179813,43.7,PAR #8005 OF E2NW4SE4 SEC 26 3N 2E #428000 B
S1610233600,E COLUMBIA RD,2N 3E 10,14.9911,15,,Ada County,RP,County Rural Preservation/Foothills,Agricultural / Rural,Low,Vacant Land,Ada County,Rural,Rural (county),low-density / rural,3.167,0.296,25,32.95,2,43.525366,-116.092138,43.6,PAR #3600 POR SW4NW4 SEC 10 2N 3E PAR A ROS 15186 #234000-S
S1026427910,3904 S GEKELER LN,3N 2E 26,17.6418,18.69,0,City of Boise,I-1,Boise Industrial (light),Industrial / Business Park,Low,Vacant Land,Boise,Industrial,Industrial,non-residential,2.254,0.743,26,31.04,3,43.565422,-116.182152,43.5,PAR #7910 POR W2NW4SE4 SEC 26 3N 2E #427900-B 85-213 #9031602
S1610233700,E COLUMBIA RD,2N 3E 10,17.9547,17.96,,Ada County,RP,County Rural Preservation/Foothills,Agricultural / Rural,Low,Vacant Land,Ada County,Rural,Rural (county),low-density / rural,3.212,0.673,25,32.95,2,43.525701,-116.091011,43.5,PAR #3700 POR SW4NW4 SEC 10 2N 3E PAR B ROS 15186 #234000-B
